Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
1681813062,321,cuGetProcAddress_v2,0,357,15766,15766,20,darknet
1681813563,80,cuGetProcAddress_v2,0,358,15766,15766,20,darknet
1681813763,431,cuGetProcAddress_v2,0,359,15766,15766,20,darknet
1681814334,181,cuGetProcAddress_v2,0,360,15766,15766,20,darknet
1681814685,140,cuGetProcAddress_v2,0,361,15766,15766,20,darknet
1681814945,181,cuGetProcAddress_v2,0,362,15766,15766,20,darknet
1681815296,160,cuGetProcAddress_v2,0,363,15766,15766,20,darknet
1681815577,170,cuGetProcAddress_v2,0,364,15766,15766,20,darknet
1681816118,180,cuGetProcAddress_v2,0,365,15766,15766,20,darknet
1681816478,60,cuGetProcAddress_v2,0,366,15766,15766,20,darknet
1681816669,290,cuGetProcAddress_v2,0,367,15766,15766,20,darknet
1681817089,191,cuGetProcAddress_v2,0,368,15766,15766,20,darknet
1681817440,190,cuGetProcAddress_v2,0,369,15766,15766,20,darknet
1681817690,181,cuGetProcAddress_v2,0,370,15766,15766,20,darknet
1681818041,301,cuGetProcAddress_v2,0,371,15766,15766,20,darknet
1681818472,80,cuGetProcAddress_v2,0,372,15766,15766,20,darknet
1681818682,321,cuGetProcAddress_v2,0,373,15766,15766,20,darknet
1681819183,80,cuGetProcAddress_v2,0,374,15766,15766,20,darknet
1681819384,80,cuGetProcAddress_v2,0,375,15766,15766,20,darknet
1681819524,170,cuGetProcAddress_v2,0,376,15766,15766,20,darknet
1681819854,71,cuGetProcAddress_v2,0,377,15766,15766,20,darknet
1681819985,70,cuGetProcAddress_v2,0,378,15766,15766,20,darknet
1681820205,321,cuGetProcAddress_v2,0,379,15766,15766,20,darknet
1681820656,70,cuGetProcAddress_v2,0,380,15766,15766,20,darknet
1681820866,221,cuGetProcAddress_v2,0,381,15766,15766,20,darknet
1681821147,80,cuGetProcAddress_v2,0,382,15766,15766,20,darknet
1681821347,311,cuGetProcAddress_v2,0,383,15766,15766,20,darknet
1681821718,190,cuGetProcAddress_v2,0,384,15766,15766,20,darknet
1681822068,81,cuGetProcAddress_v2,0,385,15766,15766,20,darknet
1681822209,190,cuGetProcAddress_v2,0,386,15766,15766,20,darknet
1681822529,201,cuGetProcAddress_v2,0,387,15766,15766,20,darknet
1681822790,210,cuGetProcAddress_v2,0,388,15766,15766,20,darknet
1681823130,271,cuGetProcAddress_v2,0,389,15766,15766,20,darknet
1681823461,100,cuGetProcAddress_v2,0,390,15766,15766,20,darknet
1681823621,461,cuGetProcAddress_v2,0,391,15766,15766,20,darknet
1681824142,211,cuGetProcAddress_v2,0,392,15766,15766,20,darknet
1681824413,180,cuGetProcAddress_v2,0,393,15766,15766,20,darknet
1681824653,191,cuGetProcAddress_v2,0,394,15766,15766,20,darknet
1681824904,170,cuGetProcAddress_v2,0,395,15766,15766,20,darknet
1681825134,211,cuGetProcAddress_v2,0,396,15766,15766,20,darknet
1681825405,210,cuGetProcAddress_v2,0,397,15766,15766,20,darknet
1681825675,180,cuGetProcAddress_v2,0,398,15766,15766,20,darknet
1681825916,210,cuGetProcAddress_v2,0,399,15766,15766,20,darknet
1681826176,401,cuGetProcAddress_v2,0,400,15766,15766,20,darknet
1681826637,200,cuGetProcAddress_v2,0,401,15766,15766,20,darknet
1681826897,201,cuGetProcAddress_v2,0,402,15766,15766,20,darknet
1681827158,80,cuGetProcAddress_v2,0,403,15766,15766,20,darknet
1681827298,551,cuGetProcAddress_v2,0,404,15766,15766,20,darknet
1681827909,381,cuGetProcAddress_v2,0,405,15766,15766,20,darknet
1681828360,80,cuGetProcAddress_v2,0,406,15766,15766,20,darknet
1681828500,311,cuGetProcAddress_v2,0,407,15766,15766,20,darknet
1681828871,301,cuGetProcAddress_v2,0,408,15766,15766,20,darknet
1681829232,190,cuGetProcAddress_v2,0,409,15766,15766,20,darknet
1681829482,331,cuGetProcAddress_v2,0,410,15766,15766,20,darknet
1681829873,80,cuGetProcAddress_v2,0,411,15766,15766,20,darknet
1681830013,200,cuGetProcAddress_v2,0,412,15766,15766,20,darknet
1681830274,200,cuGetProcAddress_v2,0,413,15766,15766,20,darknet
1681830544,190,cuGetProcAddress_v2,0,414,15766,15766,20,darknet
1681830805,280,cuGetProcAddress_v2,0,415,15766,15766,20,darknet
1681831145,80,cuGetProcAddress_v2,0,416,15766,15766,20,darknet
1681831376,561,cuGetProcAddress_v2,0,417,15766,15766,20,darknet
1681832107,200,cuGetProcAddress_v2,0,418,15766,15766,20,darknet
1681832438,300,cuGetProcAddress_v2,0,419,15766,15766,20,darknet
